Country.of.Origin,Region,Latitude,Longitude
Ethiopia,guji-hambela,9.0,39.5
Guatemala,NaN,15.5855545,-90.345759
Ethiopia,oromia,7.6721644,40.0299727
Brazil,NaN,-10.3333333,-53.2
Peru,NaN,-6.8699697,-75.0458515
Ethiopia,oromiya,7.6721644,40.0299727
Ethiopia,"snnp/kaffa zone,gimbowereda",9.0,39.5
United States,antioquia,18.3628937,-66.088641
United States (Hawaii),kona,37.1576,-82.73877
Indonesia,sulawesi,-1.0074826,121.2564612
Ethiopia,yirgacheffe,6.1529383,38.2023167
China,yunnan,25.0,102.0
Ethiopia,gedio,6.4125241,38.3129784
Costa Rica,san ramon,10.2182194,-84.5714706
Mexico,xalapa,19.5408338,-96.9146374
Ethiopia,sidamo,6.75,38.5
Brazil,south of minas,-18.0,-44.0
Uganda,kapchorwa eastern,1.1557421,34.5281911
Honduras,comayagua,14.4527976,-87.6379227
Taiwan,"leye, alishan township, chiayi county",23.4708536,120.7027381
Nicaragua,NaN,12.3506436,-85.7841006
"Tanzania, United Republic Of",NaN,-6.5247123,35.7878438
Brazil,vale da grama,-22.3405618,-44.5486377
Costa Rica,west and central valley,10.0,-84.0
Kenya,muranga,-0.8317087,37.0049216
Thailand,chiang rai,19.7589517,99.6734592
Brazil,sul de minas - carmo de minas,-20.47325,-43.350189
Taiwan,natou county,24.0,121.0
Kenya,nyeri,-0.3212105,36.9295615
Uganda,eastern uganda,0.4656544,34.0983659
Colombia,tolima,4.0355786,-75.2086642
Kenya,kiambu,-1.036395,36.8431312
Uganda,"sipi, mt elgon",1.23583,34.59194
Guatemala,nuevo oriente,25.6210449,-100.081741
Uganda,eastern,0.7094575,33.6804632
Colombia,huila,2.4738993,-75.5900113
Panama,boquete,8.7407496,-82.3853832
Guatemala,acatenango,14.5006848,-90.8757094
Ethiopia,addis ababa,9.0358287,38.7524127
Peru,cajamarca,-6.25,-78.833333
Papua New Guinea,eastern highlands province,-6.5,145.583333
El Salvador,apaneca,13.8588544,-89.8039792
El Salvador,"ataco, apaneca - ilamatepec mountain range",13.83333,-88.91667
Kenya,kirinyaga,-0.468878,37.3027681
Uganda,bulambuli eastern region,1.1555615,34.523047
Guatemala,huehuetenango,15.606418,-91.6442217
Uganda,kapchorwa,1.3310607,34.3961656
Costa Rica,west valley,10.0,-84.0
Kenya,central kenya,-1.8440295,36.7825678
Guatemala,oriente,-33.4904671,-70.5932399
Colombia,santander,7.0000085,-73.2500086
Indonesia,lintong,3.8252496,116.6477215
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",7.333, 36.23
Colombia,pasto,1.2140275,-77.2785096
Ethiopia,aricha,9.3,38.45
Colombia,cundinamarca,4.7831994,-73.6731282
Costa Rica,tarrazu,9.5828031,-84.0659187
Mexico,veracruz,19.333333,-96.666667
Kenya,NaN,1.4419683,38.4313975
Brazil,grama valley,-10.0,-55.0
Mexico,mexico,23.6585116,-102.0077097
Guatemala,"chuva, san marcos",14.96389,-91.79444
"Tanzania, United Republic Of",mbeya,37.12005,-93.48019
Mexico,coatepec,19.4543134,-96.9596375
Taiwan,"dongshan dist., tainan city 臺南市東山區",24.0,121.0
Thailand,thailand,14.8971921,100.83273
Honduras,marcala,14.1546577,-88.0347414
El Salvador,santa ana,13.9721087,-89.5605303
Nicaragua,jinotega,13.8038301,-85.39452
Indonesia,"temanggung, indonesia",-7.31917,110.19278
Japan,ada okinawa japan,26.74513,128.31546
Costa Rica,costa rica,10.2735633,-84.0739102
Costa Rica,NaN,10.2735633,-84.0739102
Taiwan,taichung xinshe 台中市新社區,24.2303236,120.8035398
Mexico,el remudadero,19.4180453,-103.7526639
Uganda,mbale,0.9765706,34.2021869
Peru,"penachi, cecanor",-10.0,-75.25
Guatemala,jalapa,14.6507936,-89.9390853
